                                                            Hackman, Gene                 
                                                            Chancer, Norman               
                                                            Perrine, Valerie              
                                                            Griffiths, Richard (I)        
                                                            Lipinski, Eugene              
                                                            McClure, Marc (I)             
          The Gods Must Be Crazy                            Weyers, Marius                
1981      Stripes                                           Flaherty, Joe (I)             
                                                            Reinhold, Judge               
                                                            Thomas, Dave (I)              
                                                            Lucking, William              
                                                            Gibb, Donald                  
                                                            Murray, Bill (I)              
                                                            LeGault, Lance                
                                                            Quaid, Dennis                 
                                                            Paxton, Bill                  
                                                            Candy, John                   
                                                            Larroquette, John             
                                                            Diehl, John                   
                                                            Ramis, Harold                 
          Arthur                                            Margolis, Mark (I)            
                                                            Gielgud, John                 
                                                            Gleason, Paul (I)             
                                                            Hamilton, Richard (I)         
          On Golden Pond                                    Garity, Troy                  
                                                            Coleman, Dabney               
          For Your Eyes Only                                Rietty, Robert                
                                                            Dance, Charles (I)            
                                                            Wilson, Michael G. (I)        
                                                            Hoyland, William              
                                                            Glover, Julian                
                                                            Moore, Roger (I)              
                                                            Keen, Geoffrey                
                                                            Brooke, Paul (I)              
                                                            Bulloch, Jeremy               
                                                            Curtis, Clive                 
                                                            Kalipha, Stefan               
                                                            Gotell, Walter                
                                                            Hollis, John (I)              
                                                            Maxwell, Lois                 
                                                            Llewelyn, Desmond             
          Absence of Malice                                 DiSanti, John                 
                                                            Newman, Paul (I)              
                                                            Dillon, Melinda               
                                                            Primus, Barry                 
                                                            Field, Sally                  
                                                            Brimley, Wilford              
                                                            Sommer, Josef                 
                                                            Balaban, Bob                  
          Chariots of Fire                                  Ashby, Carole                 
                                                            Gielgud, John                 
                                                            Branagh, Kenneth              
                                                            Cross, Ben (I)                
                                                            O'Brien, Philip               
                                                            Holm, Ian                     
                                                            Rodger, Struan                
                                                            Krige, Alice                  
                                                            Fry, Stephen (I)              
                                                            Griffiths, Richard (I)        
                                                            Lonsdale, Michael (I)         
1982      An Officer and a Gentleman                        Zabriskie, Grace              
                                                            Begley Jr., Ed                
                                                            Laughlin, John (I)            
                                                            Winger, Debra                 
                                                            Keith, David (I)              
                                                            Gere, Richard                 
                                                            Loggia, Robert                
          Rocky III                                         Meredith, Burgess             
                                                            Young, Burt                   
                                                            Mr. T                         
                                                            Fillipo, Lou                  
                                                            Stallone, Frank (I)           
                                                            Stallone, Sylvester           
                                                            Sherman, Don (I)              
                                                            Brown, Jophery C.             
                                                            Nahan, Stu                    
                                                            Weathers, Carl                
                                                            Burton, Tony (I)              
                                                            Bolin, Rusty 'Gravestone'     
                                                            Neiman, LeRoy                 
                                                            Denkin, Marty                 
                                                            Shire, Talia                  
                                                            Brubaker, Tony                
                                                            Machado, Mario                
                                                            Tamburro, Charles A.          
          Gandhi                                            Ratzenberger, John            
                                                            Day-Lewis, Daniel             
                                                            Hawthorne, Nigel              
                                                            Frazer, Rupert                
                                                            James, Geraldine              
                                                            Fox, Edward (I)               
                                                            Kingsley, Ben                 
                                                            Rimmer, Shane                 
                                                            Bergen, Candice               
                                                            Hoyland, William              
                                                            Gielgud, John                 
                                                            Seth, Roshan                  
                                                            Nayyar, Harsh                 
                                                            Sheen, Martin                 
                                                            Puri, Om                      
                                                            Peacock, Daniel (I)           
                                                            Bannen, Ian                   
                                                            Lyons, Derek                  
                                                            Santana, Gito                 
                                                            Hill, Bernard (I)             
                                                            Chancer, Norman               
                                                            Griffiths, Richard (I)        
                                                            Weyers, Marius                
          Star Trek: The Wrath of Khan                      Guest, Nicholas               
                                                            Takei, George                 
                                                            Koenig, Walter (I)            
                                                            Nichols, Nichelle             
                                                            Eisenmann, Ike                
                                                            Victor, Teresa E.             
                                                            Shatner, William              
                                                            Kelley, DeForest              
                                                            Montalban, Ricardo            
                                                            Nimoy, Leonard                
                                                            Vargas, John (I)              
                                                            Doohan, James                 
                                                            Winfield, Paul (I)            
          Porky's                                           Cattrall, Kim                 
          Tootsie                                           Coleman, Dabney               
                                                            De Banzie, Lois               
                                                            Durning, Charles              
                                                            Getty, Estelle                
                                                            Murray, Bill (I)              
                                                            Bell, Tobin                   
                                                            Thigpen, Lynne                
                                                            Garr, Teri                    
                                                            Davis, Geena                  
                                                            Kapelos, John                 
                                                            Mardirosian, Tom              
                                                            Jansen, Jim (I)               
                                                            Merson, Susan                 
                                                            Pollack, Sydney               
                                                            Ebersole, Christine           
                                                            Hoffman, Dustin               
                                                            Mooney, Debra                 
                                                            Lange, Jessica (I)            
                                                            Gaynes, George                
                                                            Lovett, Marjorie              
          E.T.: The Extra-Terrestrial                       Winger, Debra                 
                                                            Howell, C. Thomas             
                                                            Grossman, Ted (I)             
                                                            Barrymore, Drew (I)           
                                                            Lockhart, Anne (I)            
                                                            Coyote, Peter                 
                                                            Kogan, Milt                   
          Poltergeist                                       Graf, Allan                   
                                                            Karen, James                  
                                                            Williams, JoBeth              
                                                            Lawson, Richard (I)           
                                                            Nelson, Craig T.              
          First Blood                                       Stallone, Sylvester           
                                                            Crenna, Richard               
                                                            McKinney, Bill (I)            
                                                            Greenwood, Bruce (I)          
                                                            Miller, Stephen E. (I)        
                                                            Mulkey, Chris (I)             
                                                            Humphreys, Alf (I)            
                                                            Dennehy, Brian                
                                                            Tamburro, Charles A.          
1983      Risky Business                                    Pinchot, Bronson              
                                                            De Mornay, Rebecca            
                                                            Minkoff, Robert               
                                                            Sbarge, Raphael               
                                                            Pantoliano, Joe               
                                                            Baker, Cynthia (I)            
                                                            Cruise, Tom                   
                                                            Armstrong, Curtis             
                                                            Mullally, Megan               
                                                            Lockhart, Anne (I)            
                                                            Young, Bruce A.               
          Trading Places                                    Esposito, Giancarlo           
                                                            Murphy, Eddie (I)             
                                                            Guest, Nicholas               
                                                            Pendelton, Charles            
                                                            Dennen, Barry                 
                                                            Omilami, Afemo                
                                                            Cobbs, Bill                   
                                                            Curtis Brown, Robert          
                                                            Bellamy, Ralph                
                                                            Gleason, Paul (I)             
                                                            Jones, Eddie (I)              
                                                            Bedford Lloyd, John           
                                                            Belushi, James                
                                                            McInerney, Bernie             
                                                            Aykroyd, Dan                  
                                                            Oz, Frank                     
                                                            Sylvers, Ronald               
                                                            Mardirosian, Tom              
                                                            Smith, Clint (I)              
                                                            Curtis, Jamie Lee             
                                                            Bosco, Philip (I)             
                                                            Eckhouse, James               
                                                            Elliott, Denholm              
          Star Wars: Episode VI - Return of the Jedi        Fisher, Carrie                
                                                            Lawson, Denis                 
                                                            Thompson, Kevin (II)          
                                                            Morse, Ralph (I)              
